mah_id,mahalle_adi,ilce_adi,toplam_nufus,toplam_bina,vs30_mean,rjb_distance_km,pga_scenario_mw72,pga_scenario_mw75,earthquake_min_distance_km,earthquake_count_10km,max_magnitude_nearby_20km,strong_earthquakes_20km,insan_etkisi,bina_etkisi,zemin_etkisi,altyapi_etkisi,barinma_etkisi,risk_score,risk_class_5,AUC_ge_2,AUC_ge_3,AUC_ge_4,AUC_ge_5,Macro_Ordinal_AUC,QWK,Macro_F1,Spearman_rho,Best_thresholds,Threshold_percentiles,ml_predicted_class,ml_confidence,ml_risk_score,ml_proba_class_1,ml_proba_class_2,ml_proba_class_3,ml_proba_class_4,ml_proba_class_5,ml_ensemble_score
40546,Ortabayir Mahallesi̇,Kağıthane,22073,1535,377.211489244062,38.26323254333177,0.0041204355233929,0.0041441116806336,2.925475259831252,29.0,4.1,1.0,0.0009284717495679,0.1018113203066559,0.6923582959473438,0.0,0.0015904480707153,0.362652,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,0.9821428571428572,0.4035714285714286,0.0,0.9821428571428572,0.01785714285714286,0.0,0.0,0.4035714285714286
40254,Ortaçeşme Mahallesi̇,Beykoz,7754,1548,419.391334205273,39.07500741280048,0.0038088353184986,0.00388384857179,6.059473807306167,9.0,3.1,0.0,0.0015484495481464,0.1074869074194429,0.5816500414559764,0.0,0.0025946872966228,0.19032,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40225,Ortaköy Mahallesi̇,Beşiktaş,9121,1031,513.340843613818,43.5858543916898,0.0041664676143701,0.0041821580264562,2.733776446698239,29.464921465968587,3.9854450261780094,1.130890052356021,0.0020426545064051,0.2195487871134561,0.335063402588404,0.0015035945306748,0.0041190150667515,0.222125,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
191965,Oruçoğlu Mahallesi̇,Şile,458,193,382.562429428101,44.26540512667561,0.0038570423433275,0.0039243502077662,4.006901131171261,2.0,3.1,0.0,0.0,0.181284193428566,0.6783138335220447,0.0,0.0042583649035541,0.225154,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40355,Oruçrei̇s Mahallesi̇,Esenler,33595,2835,344.813055855887,40.42092082501839,0.0042583150112707,0.0042581632460342,1.3078877686280517,63.0,3.8,0.0,0.0021813405832661,0.1763454132834448,0.7773935541840236,0.0024493440775625,0.0038163003206287,0.471388,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6
40511,Osmanağa Mahallesi̇,Kadıköy,7497,1521,325.879151367673,40.17325937149658,0.0045046053707154,0.004460300567366,2.811185221974488,11.0,4.2,2.0,0.0077591414974448,0.2801274262392124,0.8270888415546641,0.0018293031498313,0.0047785118462395,0.491187,4,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",4,0.5384615384615384,0.7076923076923076,0.0,0.0,0.4615384615384615,0.5384615384615384,0.0,0.7076923076923076
40580,Osmangazi̇ Mahallesi̇,Sancaktepe,52856,3213,424.037027994792,40.41548232513899,0.0040612880154475,0.0040946190134357,2.733776446698239,29.464921465968587,3.9854450261780094,1.130890052356021,0.001750685328178,0.2847238530892308,0.5694566194362414,0.0018162554866051,0.0042200751360437,0.377667,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,0.9763313609467456,0.4047337278106509,0.0,0.9763313609467456,0.023668639053254437,0.0,0.0,0.4047337278106509
40188,Osmani̇ye Mahallesi̇,Bakırköy,22495,992,345.576080322266,40.62125013702429,0.004749356780374,0.0046592649949456,2.629381007860493,20.0,4.1,1.0,0.0229143853521891,0.6985929967075609,0.7753908652958897,0.0042676150255612,0.0126217893895479,0.601975,4,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",4,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0.8
191935,Osmanköy Mahallesi̇,Şile,300,138,445.106885910034,42.25207139323552,0.0037721829888537,0.0038529946519572,2.650330959847276,22.0,3.4,0.0,0.0,0.1433646785355803,0.5141551550917742,0.0,0.0034216335540838,0.166002,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
191891,Ovacik Mahallesi̇,Şile,173,97,458.66836313101,44.26152472097416,0.0037026898316517,0.0037943505474193,6.284322436496772,10.0,4.3,1.0,0.0,0.087121544262254,0.4785607266902625,0.0,0.0023733874363587,0.158947,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40901,Ovayeni̇ce Mahallesi̇,Çatalca,1238,1083,383.535482472387,49.56701050098753,0.0041218574523236,0.0041452912528232,1.4520049934383337,83.0,3.1,0.0,0.0010032876549769,0.3303021174474845,0.6757598885239187,0.0553888760673898,8.291519113288898e-05,0.370891,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4
98700,Parseller Mahallesi̇,Ümraniye,15874,1322,282.319946289062,46.51105313890814,0.0040851213460958,0.0041147935817787,5.789924588301451,5.0,4.2,2.0,0.0008346193721298,0.1937592715481348,0.9414174638082362,0.000863946435321,0.0037764281131126,0.449917,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6
