mah_id,ilce_adi,mahalle_adi,centroid_lon,centroid_lat,X,Y,xcoord,ycoord,lon,lat,city,toplam_nufus,toplam_bina,vs30_mean,rjb_distance_km,pga_scenario_mw72,pga_scenario_mw75,earthquake_min_distance_km,earthquake_count_10km,max_magnitude_nearby_20km,strong_earthquakes_20km,insan_etkisi,bina_etkisi,zemin_etkisi,altyapi_etkisi,barinma_etkisi,risk_score,risk_class_5,AUC_ge_2,AUC_ge_3,AUC_ge_4,AUC_ge_5,Macro_Ordinal_AUC,QWK,Macro_F1,Spearman_rho,Best_thresholds,Threshold_percentiles,ml_predicted_class,ml_confidence,ml_risk_score,ml_proba_class_1,ml_proba_class_2,ml_proba_class_3,ml_proba_class_4,ml_proba_class_5,ml_ensemble_score
"40139",Adalar,Burgazada Mahallesi̇,29.062139675189,40.8800213924646,29.062139675189,40.8800213924646,29.062139675189,40.8800213924646,29.062139675189,40.8800213924646,Istanbul,1620,820,528.701873779297,24.2919278230897,0.0063991223259967,0.0059583052609708,1.10934227320216,26,4.8,6,0.0332240977761289,0.882497851406218,0.294745738112081,0.0084656084656084,0.0252187065652849,0.710769,5,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",5,1,1,0,0,0,0,1,1
"40142",Adalar,Heybeli̇ada Mahallesi̇,29.0901244379663,40.8752411393378,29.0901244379663,40.8752411393378,29.0901244379663,40.8752411393378,29.0901244379663,40.8752411393378,Istanbul,4469,1395,521.602333068848,13.1533785835924,0.0063991223619913,0.0059583052886155,3.56016179556281,30,4.8,6,0.0358529973316458,0.897434641163329,0.31337970323137,0.0184125563405044,0.0175254401550638,0.736154,5,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",5,1,1,0,0,0,0,1,1
"40143",Adalar,Kınalıada Mahallesi̇,29.0486850148239,40.9087645895356,29.0486850148239,40.9087645895356,29.0486850148239,40.9087645895356,29.0486850148239,40.9087645895356,Istanbul,1987,1012,345.456588745117,24.1281953190697,0.0063991023144625,0.0059582898916643,1.5521716763891,12,4.8,5,0.0164609191800123,0.758439731724771,0.775704491482633,0.0172550147386584,0.021697323996707,0.901405,5,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",5,1,1,0,0,0,0,1,1
"40140",Adalar,Maden Mahallesi̇,29.1275599870296,40.8592713772915,29.1275599870296,40.8592713772915,29.1275599870296,40.8592713772915,29.1275599870296,40.8592713772915,Istanbul,4914,1681,470.844326019287,20.4856831931522,0.0063991286223207,0.005958310096687,0.218985466406608,49,4.9,11,0.0301207479838531,0.825959024563722,0.446602818847016,0.0167451596023024,0.0176930623950491,0.804454,5,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",5,1,1,0,0,0,0,1,1
"40141",Adalar,Ni̇zam Mahallesi̇,29.1189341110939,40.8577505896356,29.1189341110939,40.8577505896356,29.1189341110939,40.8577505896356,29.1189341110939,40.8577505896356,Istanbul,3989,1485,464.735229492188,41.315146406078,0.0063991286105212,0.0059583100876247,0.733061818359021,52,4.8,9,0.0272971037632286,0.872163309891135,0.46263719293389,0.0257851950005371,0.0176785829906414,0.814029,5,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",5,1,1,0,0,0,0,1,1
"40490",Arnavutköy,Adnan Menderes Mahallesi̇,28.6992852402108,41.2103437356764,28.6992852402108,41.2103437356764,28.6992852402108,41.2103437356764,28.6992852402108,41.2103437356764,Istanbul,4693,365,389.229532877604,39.8285985345462,0.0038060450485635,0.0038815015581504,0.378874736550117,159,3.6,0,0.0003087751551257,0.119821401820936,0.660814874336997,0,0.0019466783697856,0.346653,2,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1,0.4,0,1,0,0,0,0.4
"99359",Arnavutköy,Anadolu Mahallesi̇,28.7500655145647,41.1863446276884,28.7500655145647,41.1863446276884,28.7500655145647,41.1863446276884,28.7500655145647,41.1863446276884,Istanbul,47828,2205,466.200042724609,18.5415577690306,0.0038786888475156,0.0039425078521634,1.90702098744927,90,3.6,0,0.0002510386760125,0.103022375414321,0.458792538780554,0.0014337088854108,0.0014143534198427,0.288772,2,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1,0.4,0,1,0,0,0,0.4
"40478",Arnavutköy,Arnavutköy Merkez Mahallesi̇,28.7399550161296,41.1720894549814,28.7399550161296,41.1720894549814,28.7399550161296,41.1720894549814,28.7399550161296,41.1720894549814,Istanbul,23116,1274,398.990497935902,16.4295841490946,0.0039244770113903,0.0039808578296967,2.19990030791149,89,3.6,0,0.0001611961563672,0.0860310709946189,0.635195543475323,0.001483202729093,0.001212284945836,0.328515,2,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1,0.4,0,1,0,0,0,0.4
"40482",Arnavutköy,Atatürk Mahallesi̇,28.7605139334176,41.1921221719488,28.7605139334176,41.1921221719488,28.7605139334176,41.1921221719488,28.7605139334176,41.1921221719488,Istanbul,10566,781,409.523655863353,21.1866611615972,0.0038596244463771,0.0039265170779529,2.07427418537552,91,3.6,0,0.0003134759585744,0.123221934056565,0.607549459676239,0,0.0020304412629288,0.294704,2,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1,0.4,0,1,0,0,0,0.4
"191981",Arnavutköy,Baklali Mahallesi̇,28.6592364888141,41.2672372331217,28.6592364888141,41.2672372331217,28.6592364888141,41.2672372331217,28.6592364888141,41.2672372331217,Istanbul,866,516,382.502717759874,18.5825573982636,0.0036627585452553,0.0037605661186865,0.697897026382933,168,3.6,0,0,0.0961986775551725,0.678470557060698,0,0.0030818408454797,0.329733,2,0.0051,0.0143,0.0554,0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1,0.4,0,1,0,0,0,0.4
